name,region,province
Bushula'S Junior Secondary School,Lusikisiki,Eastern Cape
Bushy Park Farm School,Port Elizabeth,Eastern Cape
Busila Junior Secondary School,Willowvale,Eastern Cape
Busy Bees Junior Primary School,Butterworth,Eastern Cape
Buthisizwe Primary School,Seymour,Eastern Cape
Buto Junior Secondary School,Port St Johns,Eastern Cape
Butterworth High School,Butterworth,Eastern Cape
Buttville Junior Secondary School,Flagstaff,Eastern Cape
Butulo Junior Secondary School,Port St Johns,Eastern Cape
Buwa Junior Secondary School,Mthatha,Eastern Cape
Buwa Senior Secondary School,Mount Frere,Eastern Cape
Buxton Primary School,Balfour,Eastern Cape
Buyani Senior Primary School,Sterkspruit,Eastern Cape
Buyokoyoko Junior Secondary School,Ladyfrere,Eastern Cape
Buzongoma Junior Secondary School,Idutywa,Eastern Cape
Byletts Combined School,East London,Eastern Cape
Byletts High School,East London,Eastern Cape
C M Bikitsha Senior Primary School,Butterworth,Eastern Cape
C M Vellem Primary School,Grahamstown,Eastern Cape
C W Hendrickse Primary School,Uitenhaage,Eastern Cape
Caba Junior Secondary School,Ntabankulu,Eastern Cape
Caba Secondary School,Tsomo,Eastern Cape
Caba Senior Primary School,Mthatha,Eastern Cape
Cabane Junior Secondary School,Mount Frere,Eastern Cape
Cabazana Junior Secondary School,Mount Ayliff,Eastern Cape
Cabazi Junior Secondary School,Mount Frere,Eastern Cape
Caca Senior Primary School,Engcobo,Eastern Cape
Cacadu Junior Secondary School,Tabankulu,Eastern Cape
Cacadu Secondary School,Ladyfrere,Eastern Cape
Caesar Mlumbi Primary School,Alice,Eastern Cape
Cafutweni Junior Secondary School,Butterworth,Eastern Cape
Caguba Junior Secondary School,Port St Johns,Eastern Cape
Caiphus Khoapa Junior Secondary School,Matatiele,Eastern Cape
Cala Community School,Elliotdale,Eastern Cape
Cala Pass Pj School,Cala,Eastern Cape
Cala River Senior Primary School,Cala,Eastern Cape
Cala Senior Secondary School,Cala,Eastern Cape
Cala Village Junior Secondary School,Cala,Eastern Cape
Calderwood Primary School,Alice,Eastern Cape
Caledon Preparatory School,Uitenhage,Eastern Cape
Caley Junior Secondary School,Butterworth,Eastern Cape
Camagu Junior Primary School,Flagstaff,Eastern Cape
Cambalala Senior Primary School,Maclear,Eastern Cape
Cambridge High School,East London,Eastern Cape
Cambridge Primary School,East London,Eastern Cape
Cameron Ngudle Senior Secondary School,Umtata,Eastern Cape
Campbell Mnyhila Junior Primary School,Tsomo,Eastern Cape
Camshe Junior Secondary School,Willowvale,Eastern Cape
Canaan Academy,Idutywa,Eastern Cape
Cancele Junior Secondary School,Mount Frere,Eastern Cape
Cancele Ss School,Umzimvubu,Eastern Cape
Candilanga Senior Primary School,Mthatha,Eastern Cape
Candu Junior Secondary School,Idutywa,Eastern Cape
Candulwandle Junior Secondary School,Tsolo,Eastern Cape
Candulwandle Primary School,Mount Frere,Eastern Cape
Cangci Comprehensive Technical High,Bizana,Eastern Cape
Canhams Junior Secondary School,Lusikisiki,Eastern Cape
Canzibe Primary School,Port Elizabeth,Eastern Cape
Cape Recife,Port Elizabeth,Eastern Cape
Carel Du Toit High School,Steytlerville,Eastern Cape
Carinus Primary School,Cradock,Eastern Cape
Caritas Primary School,Uitenhage,Eastern Cape
Carlisle Bridge Primary School,Grahamstown,Eastern Cape
Cathcart (Rc) Primary School,Cathcart,Eastern Cape
Cathcart High School,Cathcart,Eastern Cape
Catuza Senior Primary School,Engcobo,Eastern Cape
Cebano Junior Secondary School,Sterkspruit,Eastern Cape
Cebe Junior Secondary School,Butterworth,Eastern Cape
Cebelihle Primary School,Port Elizabeth,Eastern Cape
Cebolethu High School,Dordrecht,Eastern Cape
Cecilia Makiwane Hospital School,East London,Eastern Cape
Cedarberg Primary School,Port Elizabeth,Eastern Cape
Cedarville Gip,Cedarville,Eastern Cape
Cedarville Public,Cedarville,Eastern Cape
Cederville Junior Secondary School,Mount Frere,Eastern Cape
Cefane Hoek Junior Secondary School,Engcobo,Eastern Cape
Cefane Pjs School,Engcobo,Eastern Cape
Cefane Primary School,East London,Eastern Cape
Cegciyana Senior Primary School,Ladyfrere,Eastern Cape
Cegcuana Junior Secondary School,Butterworth,Eastern Cape
